"BookNumber","BookName","BookShortName"
"1","Bereschit (בְּרֵאשִׁית) — Genesis","1Mo"
"2","Schemot (שְׁמֹות) — Exodus","2Mo"
"3","Vajikra (וַיִּקְרָא) — Levitikus","3Mo"
"4","Bemidbar (בְּמִדְבַּר) — Numeri","4Mo"
"5","Devarim (דְּבָרִים) — Deuteronomium","5Mo"
"6","Jehoschua (יְהוֹשֻעַ) — Josua","Jos"
"7","Schoftim (שֹׁפְטִים) — Richter","Ri"
"9","Schmuel (שְׁמוּאֵל) א — Samuel","1Sam"
"10","Schmuel (שְׁמוּאֵל) ב — Samuel","2Sam"
"11","Mlachim (מְלָכִים) א — Könige","1Kö"
"12","Mlachim (מְלָכִים) ב — Könige","2Kö"
"23","Jeschajahu (יְשַׁעְיָהוּ) — Jesaja","Jes"
"24","Jirmejahu (יִרְמְיָהוּ) — Jeremia","Jer"
"26","Jecheskel (יְחֶזְקֵאל) — Hesekiel","Hes"
"28","Hoschea (הוֹשֵׁעַ) — Hosea","Hos"
"29","Joel (יוֹאֵל) — Joel","Joe"
"30","Amos (עָמוֹס) — Amos","Am"
"31","Ovadjah (עֹבַדְיָה) — Obadia","Ob"
"32","Jonah (יוֹנָה) — Jonah","Jon"
"33","Michah (מִיכָה) — Micha","Mi"
"34","Nachum (נַחוּם) — Nahum","Nah"
"35","Chavakuk (חֲבַקּוּק) — Habakuk","Hab"
"36","Zefanjah (צְפַנְיָה) — Zefania","Zeph"
"37","Chaggai (חַגַּי) — Haggai","Haggai"
"38","S’charjah (זְכַרְיָה) — Sacharja","Sach"
"39","Mal’achi (מַלְאָכִי) — Maleachi","Mal"
"19","Tehillim (תְהִלִּים) — Psalmen","Ps"
"20","Mischlej (מִשְׁלֵי) — Sprüche","Spr"
"18","Ijob (אִיּוֹב) — Hiob","Hi"
"22","Schir ha-Schirim (שִׁיר הַשִּׁירִים) — Hoheslied","Hl"
"8","Rut (רוּת) — Rut","Rt"
"25","Ejchah (אֵיכָה) — Klagelieder","Kla"
"21","Kohelet (קֹהֶלֶת) — Prediger","Pred"
"17","Ester (אֶסְתֵר) — Ester","Est"
"27","Dani’el (דָּנִיֵּאל) — Daniel","Dan"
"15","Esra (עֶזְרָא) א — Esra","Esr"
"16","Esra (עֶזְרָא) ב — Nehemiah","Neh"
"13","Divrej ha-Jamim (דִּבְרֵי הַיָּמִים) א — Chroniken","1Chr"
"14","Divrej ha-Jamim (דִּבְרֵי הַיָּמִים) ב — Chroniken","2Chr"
"67","Judit","Jdt"
"68","Weisheit","Weish"
"69","Tobia","Tob"
"70","Sirach","Sir"
"71","Baruch","Bar"
"72","1 Makkabäer","1Makk"
"73","2 Makkabäer","2Makk"
"75","xEsther","xEst"
"74","xDaniel","xDan"
"76","Manasse","Man"
"40","Matitjahu — Matthäus","Mt"
"41","Markus","Mk"
"42","Lukas","Lk"
"43","Jochanan — Johannes","Joh"
"44","Apostelgeschichte","Apg"
"45","Römer","Röm"
"46","1. Korinther","1Kor"
"47","2. Korinther","2Kor"
"48","Galater","Gal"
"49","Epheser","Eph"
"50","Philipper","Phil"
"51","Kolosser","Kol"
"52","1. Thessalonicher","1Thes"
"53","2. Thessalonicher","2Thes"
"54","1. Timotheus","1Tim"
"55","2. Timotheus","2Tim"
"56","Titus","Tit"
"57","Philemon","Phim"
"58","Hebräer","Hebr"
"59","Jakob — Jakobus","Jak"
"60","Kefa — 1. Petrus","1Petr"
"61","Kefa — 2. Petrus","2Petr"
"62","Jochanan — 1. Johannes","1Jo"
"63","Jochanan — 2. Johannes","2Jo"
"64","Jochanan — 3. Johannes","3Jo"
"65","Jehuda — Judas","Jud"
"66","Offenbarung","Offb"
